AlbumTitle|AlbumWriter|SubOrg|AlbumFeatArtists|ReleaseDate|CatNum|AppleURL|SpotifyURL|YouTubeURL|PrestoURL|Description|Track1|Track1Dur|Track2|Track2Dur|Track3|Track3Dur|RecordingLocation|Producer|Engineer|Performers|MFiT
Agincourt Song|Anonymous, arr. Ward Swingle|National Youth Choir of Great Britain|Ben Parry|02 October 2015|NYCR-0001|https://mc.apple.com/gb/album/agincourt-songngle/1042602933|https://open.spotify.com/album/0CajZMIZ7xpa14P2KNQYkA=6591902d50214701||||Agincourt Song (arr. Ward Swingle)|00:02|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
Voices For Today|Benjamin Britten|National Youth Girls' Choir of Great Britain <br/>National Youth Chamber Choir of Great Britain|Ben Parry (conductor) <br/>Esther Jones (conductor)|02 October 2015|NYCR-0002|https://mc.apple.com/gb/album/voices-for-todayngle/1042604149|https://open.spotify.com/album/1k4chM6ibBb7UWFxQQ63pR=e970930d68e445a4 ||||Voices For Today|00:09|||||Tonbridge School Chapel|John Rutter|John Rutter||
Uncertain Sea|John Casken|National Youth Choir of Great Britain|Ben Parry|06 November 2015|NYCR-0003|https://mc.apple.com/gb/album/uncertain-seangle/1052907454|https://open.spotify.com/album/7ECZHDYDE4lqRVqGW75Svz=9e5eb04a9b9d479b||||Uncertain Sea|00:07|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
Aus der Tiefe, SWV 25|Heinrich SchŸtz|National Youth Choir of Great Britain|Christopher Hann|06 November 2015|NYCR-0004|https://mc.apple.com/gb/album/aus-der-tiefengle/1052891606|https://open.spotify.com/album/5C2HiFvzjY7pzlDhloYaEM=c5c67c08bfb943ba||||Aus der Tiefe, SWV 25|00:04|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
Flame|Ben Parry|National Youth Choir of Great Britain|Ben Parry|04 December 2015|NYCR-0005|https://mc.apple.com/gb/album/flamengle/1052908213|https://open.spotify.com/album/76RdEw2Kl7edW2quR95MGi=9c20cbc4d9cf4eff||||Flame|00:04|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
A Choral Fanfare|John Rutter|National Youth Choir of Great Britain|Ben Parry|01 January 2016|NYCR-0006|https://mc.apple.com/gb/album/a-choral-fanfarengle/1071840992|https://open.spotify.com/album/3nzlvv0KHXEXzP4h6Vs0CK=3c06d31c7725433b||||A Choral Fanfare|00:02|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
Eight Part Songs, Op. 115: III. The Blue Bird|Charles Villiers Stanford|National Youth Choir of Great Britain|Christopher Hann|01 January 2016|NYCR-0007|https://mc.apple.com/gb/album/the-blue-birdngle/1071834606|https://open.spotify.com/album/4CHtvI2IRAiyD0BZDRaB6m=6e8b1755860344d7||||Eight Part Songs, Op. 115: III. The Blue Bird|00:03|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
Joshua Fit De Battle Of Jericho|Traditional, arr. Jonathan Rathbone|National Youth Choir of Great Britain|Ben Parry|05 February 2016|NYCR-0008|https://mc.apple.com/gb/album/joshua-fit-de-battle-of-jerichongle/1073949426|https://open.spotify.com/album/6w4UnBP4QJri7g0v874I8L=eadad89a9dba42ca||||Joshua Fit De Battle Of Jericho (arr. Jonathan Rathbone)|00:03|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
Dixit Dominus|Tom‡s Luis de Victoria|National Youth Choir of Great Britain|Ben Parry|04 March 2016|NYCR-0009|https://mc.apple.com/gb/album/dixit-dominusngle/1073952887|https://open.spotify.com/album/7j6Kjsy08NtrPrTc1AncMI=4e0ece6b31854ccf||||Dixit Dominus|00:05|||||Sage Gateshead|Adrian Peacock|Tony Faulkner||
The Fool On The Hill|John Lennon & Paul McCartney, arr. Jonathan Rathbone|National Youth Choir of Great Britain|Tom Bullard|01 April 2016|NYCR-0010|https://mc.apple.com/gb/album/the-fool-on-the-hill-arr-jonathan-rathbonengle/1093934754|||||The Fool On The Hill|00:05|||||St Michael & All Angels, Oxford|Adrian Peacock|Tony Faulkner||
